categoria_de_recomendacion,recomendacion,que_recomiendan_especificamente,relevancia_spec,consenso_de_todas,consenso_mayor_60,n_guias_mayor_60_y_guias,consenso_50_60,n_guias_50_60_y_guias,senal_comparativa_global,prioridad_revision,total_recomendaciones
Treatment resistance and biological interventions,Clozapine for treatment-resistant schizophrenia,"Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia.",core,Moderado: 12/19 guias (63%); discordante; dominante: considera/sugiere (31); recomienda=17; ofrece=8; considera/sugiere=31; en contra/no hacer=4; evalua/monitoriza=2,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (13); recomienda=11; considera/sugiere=13; evalua/monitoriza=1,2/2: APA 2020; VA/DoD 2024,Moderado: 4/6 guias (67%); discordante; dominante: considera/sugiere (5); recomienda=1; ofrece=3; considera/sugiere=5; en contra/no hacer=2; evalua/monitoriza=1,4/6: Canada Farmaco 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,62
Antipsychotic strategy across illness phases,LAI/depot antipsychotics and adherence,"Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano.",core,Moderado: 13/19 guias (68%); discordante; dominante: considera/sugiere (13); recomienda=4; ofrece=6; considera/sugiere=13; en contra/no hacer=5; evalua/monitoriza=7,Alto: 2/2 guias (100%); discordante; dominante: evalua/monitoriza (4); considera/sugiere=2; evalua/monitoriza=4,2/2: APA 2020; VA/DoD 2024,Alto: 5/6 guias (83%); discordante; dominante: ofrece (4); recomienda=2; ofrece=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=1,5/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,35
Psychosocial and recovery interventions,CBTp and psychological therapies,"Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles.",core,Moderado: 11/19 guias (58%); discordante; dominante: ofrece (11); recomienda=8; ofrece=11; considera/sugiere=8; en contra/no hacer=1; evalua/monitoriza=1,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (4); recomienda=2; considera/sugiere=4; evalua/monitoriza=1,2/2: APA 2020; VA/DoD 2024,Moderado: 4/6 guias (67%); discordante; dominante: ofrece (5); recomienda=2; ofrece=5; considera/sugiere=1,4/6: Canada Psicosocial 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,29
Antipsychotic strategy across illness phases,"Dose, titration and adequate trial duration","Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion.",core,Moderado: 11/19 guias (58%); discordante; dominante: considera/sugiere (13); recomienda=5; ofrece=2; considera/sugiere=13; en contra/no hacer=4; evalua/monitoriza=4,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (8); recomienda=1; considera/sugiere=8; en contra/no hacer=1,2/2: APA 2020; VA/DoD 2024,Moderado: 4/6 guias (67%); discordante; dominante: recomienda (2); recomienda=2; ofrece=2; considera/sugiere=1; evalua/monitoriza=1,4/6: Canada Farmaco 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,28
"Safety, adverse effects and physical health","Physical, metabolic and cardiovascular monitoring","Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas.",core,Bajo: 8/19 guias (42%); discordante; dominante: considera/sugiere (11); recomienda=3; ofrece=2; considera/sugiere=11; en contra/no hacer=1; evalua/monitoriza=9,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (5); recomienda=1; considera/sugiere=5; en contra/no hacer=1; evalua/monitoriza=4,2/2: APA 2020; VA/DoD 2024,Bajo: 2/6 guias (33%); discordante; dominante: considera/sugiere (3); considera/sugiere=3,2/6: Canada Dx 2017; RANZCP GRADE 2026,mixed/discordant,high,26
"Assessment, risk and shared decision-making","Diagnostic assessment, baseline workup and care planning","Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados.",core,Bajo: 7/19 guias (37%); discordante; dominante: evalua/monitoriza (13); recomienda=6; ofrece=1; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=13,Alto: 2/2 guias (100%); discordante; dominante: recomienda (4); recomienda=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=2,2/2: APA 2020; VA/DoD 2024,Bajo: 2/6 guias (33%); discordante; dominante: evalua/monitoriza (5); recomienda=1; evalua/monitoriza=5,2/6: Canada Dx 2017; WHO mhGAP 2024,mixed/discordant,high,25
Antipsychotic strategy across illness phases,Maintenance treatment and relapse prevention,"Continuar el antipsicotico efectivo tras mejoria, con plan de prevencion de recaidas, revision de beneficios/riesgos y duracion individualizada; evitar suspensiones sin seguimiento.",core,Bajo: 9/19 guias (47%); discordante; dominante: ofrece (6); recomienda=5; ofrece=6; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=4,Alto: 2/2 guias (100%); discordante; dominante: recomienda (4); recomienda=4; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=2,2/2: APA 2020; VA/DoD 2024,Moderado: 4/6 guias (67%); discordante; dominante: ofrece (3); ofrece=3; evalua/monitoriza=2,4/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026; WHO mhGAP 2024,mixed/discordant,high,20
Antipsychotic strategy across illness phases,Antipsychotic choice and comparative selection,"Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia.",core,Bajo: 8/19 guias (42%); discordante; dominante: recomienda (12); recomienda=12; ofrece=2; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=1,Moderado: 1/2 guias (50%); discordante; dominante: recomienda (3); recomienda=3; en contra/no hacer=1,1/2: VA/DoD 2024,Moderado: 3/6 guias (50%); discordante; dominante: recomienda (3); recomienda=3; ofrece=1; considera/sugiere=1,3/6: Canada Farmaco 2017; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,19
"Safety, adverse effects and physical health",Antipsychotic adverse-effect management,"Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos.",core,Bajo: 7/19 guias (37%); discordante; dominante: recomienda (11); recomienda=11; considera/sugiere=7; en contra/no hacer=1,Alto: 2/2 guias (100%); discordante; dominante: recomienda (7); recomienda=7; considera/sugiere=2; en contra/no hacer=1,2/2: APA 2020; VA/DoD 2024,Escaso: 1/6 guias (17%); discordante; dominante: recomienda (2); recomienda=2; considera/sugiere=1,1/6: RANZCP GRADE 2026,mixed/discordant,high,19
Early psychosis and acute care,"Acute agitation, rapid tranquillisation and crisis setting","Priorizar evaluacion rapida, desescalada y equipos de crisis; usar tratamiento comunitario/crisis cuando sea posible y tranquilizacion rapida o formulaciones parenterales si la via oral no es viable o hay riesgo inmediato.",core,Escaso: 4/19 guias (21%); discordante; dominante: recomienda (7); recomienda=7; ofrece=3; considera/sugiere=5; en contra/no hacer=1,Ausente: 0/2 guias (0%); discordante; sin recomendaciones,0/2: ninguna,Ausente: 0/6 guias (0%); discordante; sin recomendaciones,0/6: ninguna,mixed/discordant,high,16
