bloque,categoria_de_recomendacion,recomendacion,que_dicen_las_guias_del_bloque,consenso_del_bloque,n_guias_con_recomendacion,n_guias_bloque,cobertura,guias_con_recomendacion,accion_dominante_bloque,perfil_acciones_bloque,senal_comparativa_global,prioridad_revision,relevancia_spec,total_recomendaciones_global,recomendaciones_en_bloque
Bloque alto: AGREE-II >60%,Antipsychotic strategy across illness phases,LAI/depot antipsychotics and adherence,"APA 2020: evalua/monitoriza (4 recs; evalua/monitoriza=4). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. VA/DoD 2024: considera/sugiere (2 recs; considera/sugiere=2). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano.",Alto: 2/2 (100%); discordante; accion dominante: evalua/monitoriza; considera/sugiere=2; evalua/monitoriza=4,2,2,100%,APA 2020; VA/DoD 2024,evalua/monitoriza,considera/sugiere=2; evalua/monitoriza=4,mixed/discordant,high,core,35,6
Bloque alto: AGREE-II >60%,Treatment resistance and biological interventions,Clozapine for treatment-resistant schizophrenia,"APA 2020: considera/sugiere (21 recs; recomienda=9; considera/sugiere=11; evalua/monitoriza=1). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. VA/DoD 2024: recomienda (4 recs; recomienda=2; considera/sugiere=2). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia.",Alto: 2/2 (100%); discordante; accion dominante: considera/sugiere; recomienda=11; considera/sugiere=13; evalua/monitoriza=1,2,2,100%,APA 2020; VA/DoD 2024,considera/sugiere,recomienda=11; considera/sugiere=13; evalua/monitoriza=1,mixed/discordant,high,core,62,25
Bloque alto: AGREE-II >60%,Antipsychotic strategy across illness phases,"Dose, titration and adequate trial duration","APA 2020: considera/sugiere (9 recs; recomienda=1; considera/sugiere=8). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. VA/DoD 2024: en contra/no hacer (1 rec; en contra/no hacer=1). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion.",Alto: 2/2 (100%); discordante; accion dominante: considera/sugiere; recomienda=1; considera/sugiere=8; en contra/no hacer=1,2,2,100%,APA 2020; VA/DoD 2024,considera/sugiere,recomienda=1; considera/sugiere=8; en contra/no hacer=1,mixed/discordant,high,core,28,10
Bloque alto: AGREE-II >60%,Psychosocial and recovery interventions,CBTp and psychological therapies,"APA 2020: considera/sugiere (5 recs; recomienda=1; considera/sugiere=3; evalua/monitoriza=1). Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles. VA/DoD 2024: recomienda (2 recs; recomienda=1; considera/sugiere=1). Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles.",Alto: 2/2 (100%); discordante; accion dominante: considera/sugiere; recomienda=2; considera/sugiere=4; evalua/monitoriza=1,2,2,100%,APA 2020; VA/DoD 2024,considera/sugiere,recomienda=2; considera/sugiere=4; evalua/monitoriza=1,mixed/discordant,high,core,29,7
Bloque alto: AGREE-II >60%,Early psychosis and acute care,First episode psychosis and early intervention,"VA/DoD 2024: recomienda (1 rec; recomienda=1). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. Sin recomendacion retenida: APA 2020.",Moderado: 1/2 (50%); alineado/escaso; accion dominante: recomienda; recomienda=1,1,2,50%,VA/DoD 2024,recomienda,recomienda=1,broad recurrent theme,medium,core,21,1
Bloque alto: AGREE-II >60%,Psychosocial and recovery interventions,Family intervention and psychoeducation,"APA 2020: considera/sugiere (7 recs; recomienda=2; considera/sugiere=4; evalua/monitoriza=1). Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses. VA/DoD 2024: recomienda (2 recs; recomienda=2). Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses.",Alto: 2/2 (100%); alineado/escaso; accion dominante: recomienda; recomienda=4; considera/sugiere=4; evalua/monitoriza=1,2,2,100%,APA 2020; VA/DoD 2024,recomienda,recomienda=4; considera/sugiere=4; evalua/monitoriza=1,broad recurrent theme,medium,core,27,9
Bloque alto: AGREE-II >60%,Antipsychotic strategy across illness phases,Maintenance treatment and relapse prevention,"APA 2020: recomienda (10 recs; recomienda=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=2). Continuar el antipsicotico efectivo tras mejoria, con plan de prevencion de recaidas, revision de beneficios/riesgos y duracion individualizada; evitar suspensiones sin seguimiento. VA/DoD 2024: considera/sugiere (1 rec; considera/sugiere=1). Continuar el antipsicotico efectivo tras mejoria, con plan de prevencion de recaidas, revision de beneficios/riesgos y duracion individualizada; evitar suspensiones sin seguimiento.",Alto: 2/2 (100%); discordante; accion dominante: recomienda; recomienda=4; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=2,2,2,100%,APA 2020; VA/DoD 2024,recomienda,recomienda=4; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=2,mixed/discordant,high,core,20,11
Bloque alto: AGREE-II >60%,Comorbidity and special populations,"Depression, anxiety, PTSD and trauma","APA 2020: evalua/monitoriza (1 rec; evalua/monitoriza=1). Evaluar trauma, depresion, ansiedad, PTSD y sintomas afectivos; tratar comorbilidades segun guias especificas; considerar antidepresivos/SSRI con cautela y solo cuando el balance beneficio-riesgo lo justifique. Sin recomendacion retenida: VA/DoD 2024.",Moderado: 1/2 (50%); alineado/escaso; accion dominante: evalua/monitoriza; evalua/monitoriza=1,1,2,50%,APA 2020,evalua/monitoriza,evalua/monitoriza=1,broad recurrent theme,medium,supportive,13,1
Bloque alto: AGREE-II >60%,Antipsychotic strategy across illness phases,Antipsychotic choice and comparative selection,"VA/DoD 2024: recomienda (4 recs; recomienda=3; en contra/no hacer=1). Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia. Sin recomendacion retenida: APA 2020.",Moderado: 1/2 (50%); discordante; accion dominante: recomienda; recomienda=3; en contra/no hacer=1,1,2,50%,VA/DoD 2024,recomienda,recomienda=3; en contra/no hacer=1,mixed/discordant,high,core,19,4
Bloque alto: AGREE-II >60%,"Safety, adverse effects and physical health","Physical, metabolic and cardiovascular monitoring","APA 2020: evalua/monitoriza (7 recs; recomienda=1; considera/sugiere=1; en contra/no hacer=1; evalua/monitoriza=4). Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas. VA/DoD 2024: considera/sugiere (4 recs; considera/sugiere=4). Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas.",Alto: 2/2 (100%); discordante; accion dominante: considera/sugiere; recomienda=1; considera/sugiere=5; en contra/no hacer=1; evalua/monitoriza=4,2,2,100%,APA 2020; VA/DoD 2024,considera/sugiere,recomienda=1; considera/sugiere=5; en contra/no hacer=1; evalua/monitoriza=4,mixed/discordant,high,core,26,11
Bloque alto: AGREE-II >60%,Comorbidity and special populations,Substance use comorbidity,Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); discordante; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mixed/discordant,high,core,9,0
Bloque alto: AGREE-II >60%,"Assessment, risk and shared decision-making","Diagnostic assessment, baseline workup and care planning","APA 2020: recomienda (9 recs; recomienda=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=1). Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados. VA/DoD 2024: evalua/monitoriza (1 rec; evalua/monitoriza=1). Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados.",Alto: 2/2 (100%); discordante; accion dominante: recomienda; recomienda=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=2,2,2,100%,APA 2020; VA/DoD 2024,recomienda,recomienda=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=2,mixed/discordant,high,core,25,10
