delphi_id,proceso_id,orden_proceso,orden_en_proceso,momento_clinico,bloque_del_proceso,categoria_de_recomendacion,recomendacion,enunciado_votable_delphi,que_recomiendan_guias_mayor_60,n_guias_mayor_60,n_guias_bloque_mayor_60,guias_mayor_60,consenso_mayor_60,clase_consenso_mayor_60,consenso_global,contexto_guias_50_60,senal_comparativa_global,prioridad_revision,prioridad_delphi,decision_preliminar,dominios_de_votacion,nota_para_panel
D01,P01,1,1,"Primer contacto, emergencia, hospitalizacion o derivacion urgente",Ingreso y contencion inicial,"Assessment, risk and shared decision-making","Risk assessment: suicide, aggression and immediate safety","El protocolo HVLH debe exigir valoracion estructurada de suicidio, autoagresion, agresion, violencia y seguridad inmediata al ingreso o ante cualquier cambio clinico relevante.","Evaluar suicidio, autoagresion, agresion, violencia y seguridad inmediata en la valoracion; activar rutas de crisis o guias de autolesion cuando haya riesgo.",1,2,APA 2020,Moderado: 1/2 guias (50%); alineado/escaso; dominante: evalua/monitoriza (1); evalua/monitoriza=1,Consenso nuclear parcial (1/2),Escaso: 4/19 guias (21%); alineado/escaso; dominante: recomienda (2); recomienda=2; evalua/monitoriza=2,Escaso: 1/6 guias (17%); alineado/escaso; 1/6: Canada Dx 2017,mostly aligned or sparse,low,Media,Incluir para deliberacion Delphi,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D02,P01,1,3,"Primer contacto, emergencia, hospitalizacion o derivacion urgente",Ingreso y contencion inicial,Early psychosis and acute care,At-risk mental state and prevention of psychosis,"El protocolo HVLH debe diferenciar estados de alto riesgo de psicosis de episodios psicoticos establecidos, priorizando evaluacion especializada, apoyo psicosocial y evitando antipsicoticos de rutina cuando no exista psicosis franca.",Usar evaluacion especializada y herramientas de tamizaje para riesgo de transicion; ofrecer apoyo psicologico/familiar y seguimiento temprano; no usar antipsicoticos de rutina solo por estado de alto riesgo.,1,2,VA/DoD 2024,Moderado: 1/2 guias (50%); discordante; dominante: considera/sugiere (2); considera/sugiere=2,Consenso nuclear parcial (1/2),Escaso: 3/19 guias (16%); discordante; dominante: considera/sugiere (2); recomienda=1; considera/sugiere=2; en contra/no hacer=1,Ausente: 0/6 guias (0%); discordante; sin recomendaciones; 0/6: ninguna,mixed/discordant,high,Alta por deliberacion,Incluir para deliberacion Delphi,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D03,P02,2,1,Primeras horas/dias tras ingreso o evaluacion especializada,Evaluacion diagnostica y formulacion inicial,"Assessment, risk and shared decision-making","Diagnostic assessment, baseline workup and care planning","El protocolo HVLH debe incluir una evaluacion diagnostica inicial con historia clinica, examen mental, diagnostico diferencial, baseline fisico/metabolico, revision de farmacos y plan de cuidados.","Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: recomienda (4); recomienda=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=2,Consenso nuclear completo (2/2),Bajo: 7/19 guias (37%); discordante; dominante: evalua/monitoriza (13); recomienda=6; ofrece=1; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=13,Bajo: 2/6 guias (33%); discordante; 2/6: Canada Dx 2017; WHO mhGAP 2024,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D04,P02,2,2,Primeras horas/dias tras ingreso o evaluacion especializada,Evaluacion diagnostica y formulacion inicial,Early psychosis and acute care,First episode psychosis and early intervention,"El protocolo HVLH debe identificar primer episodio psicotico y activar una ruta de intervencion temprana con tratamiento farmacologico individualizado, psicoeducacion, familia y continuidad post-alta.","Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion.",1,2,VA/DoD 2024,Moderado: 1/2 guias (50%); alineado/escaso; dominante: recomienda (1); recomienda=1,Consenso nuclear parcial (1/2),Moderado: 10/19 guias (53%); alineado/escaso; dominante: recomienda (11); recomienda=11; ofrece=2; considera/sugiere=6; evalua/monitoriza=2,Moderado: 4/6 guias (67%); alineado/escaso; 4/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP 2016; WHO mhGAP 2024,broad recurrent theme,medium,Media,Incluir para deliberacion Delphi,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D05,P02,2,4,Primeras horas/dias tras ingreso o evaluacion especializada,Evaluacion diagnostica y formulacion inicial,"Assessment, risk and shared decision-making",Shared decision-making and patient preferences,"El protocolo HVLH debe documentar preferencias, experiencia previa, valores del paciente y decision compartida siempre que el estado clinico lo permita.","Tomar decisiones con la persona y, si consiente, cuidadores; discutir beneficios, efectos adversos y preferencias; acordar planes de medicacion, transicion y objetivos de tratamiento.",1,2,VA/DoD 2024,Moderado: 1/2 guias (50%); alineado/escaso; dominante: recomienda (1); recomienda=1; evalua/monitoriza=1,Consenso nuclear parcial (1/2),Escaso: 4/19 guias (21%); alineado/escaso; dominante: recomienda (3); recomienda=3; ofrece=1; considera/sugiere=2; evalua/monitoriza=1,Bajo: 2/6 guias (33%); alineado/escaso; 2/6: Canada Psicosocial 2017; Canada Dx 2017,mostly aligned or sparse,low,Media,Incluir para deliberacion Delphi,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D06,P03,3,2,"Fase aguda temprana, una vez definidos seguridad, diagnostico probable y preferencias",Inicio del tratamiento antipsicotico,Antipsychotic strategy across illness phases,Antipsychotic choice and comparative selection,"El protocolo HVLH debe seleccionar antipsicotico segun respuesta previa, perfil de efectos adversos, comorbilidades, interacciones, disponibilidad local y preferencias del paciente.","Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia.",1,2,VA/DoD 2024,Moderado: 1/2 guias (50%); discordante; dominante: recomienda (3); recomienda=3; en contra/no hacer=1,Consenso nuclear parcial (1/2),Bajo: 8/19 guias (42%); discordante; dominante: recomienda (12); recomienda=12; ofrece=2; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=1,Moderado: 3/6 guias (50%); discordante; 3/6: Canada Farmaco 2017; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,Alta por deliberacion,Incluir para deliberacion Delphi,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D07,P03,3,3,"Fase aguda temprana, una vez definidos seguridad, diagnostico probable y preferencias",Inicio del tratamiento antipsicotico,Antipsychotic strategy across illness phases,"Dose, titration and adequate trial duration","El protocolo HVLH debe tratar cada antipsicotico como ensayo terapeutico documentado, con dosis, titulacion, duracion adecuada, revision de PRN y justificacion de dosis altas o escalamiento rapido.","Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (8); recomienda=1; considera/sugiere=8; en contra/no hacer=1,Consenso nuclear completo (2/2),Moderado: 11/19 guias (58%); discordante; dominante: considera/sugiere (13); recomienda=5; ofrece=2; considera/sugiere=13; en contra/no hacer=4; evalua/monitoriza=4,Moderado: 4/6 guias (67%); discordante; 4/6: Canada Farmaco 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D08,P03,3,4,"Fase aguda temprana, una vez definidos seguridad, diagnostico probable y preferencias",Inicio del tratamiento antipsicotico,"Safety, adverse effects and physical health",Antipsychotic adverse-effect management,"El protocolo HVLH debe monitorizar y manejar de forma proactiva efectos adversos neurologicos, metabolicos, cardiovasculares, endocrinos y subjetivos asociados a antipsicoticos.","Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: recomienda (7); recomienda=7; considera/sugiere=2; en contra/no hacer=1,Consenso nuclear completo (2/2),Bajo: 7/19 guias (37%); discordante; dominante: recomienda (11); recomienda=11; considera/sugiere=7; en contra/no hacer=1,Escaso: 1/6 guias (17%); discordante; 1/6: RANZCP GRADE 2026,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D09,P04,4,1,Durante fase aguda y estabilizacion inicial,"Monitoreo fisico, efectos adversos y adherencia","Safety, adverse effects and physical health","Physical, metabolic and cardiovascular monitoring","El protocolo HVLH debe exigir monitoreo basal y longitudinal de peso, IMC, perimetro abdominal, presion arterial, glicemia, lipidos y riesgos cardiovasculares durante hospitalizacion y transicion al alta.","Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (5); recomienda=1; considera/sugiere=5; en contra/no hacer=1; evalua/monitoriza=4,Consenso nuclear completo (2/2),Bajo: 8/19 guias (42%); discordante; dominante: considera/sugiere (11); recomienda=3; ofrece=2; considera/sugiere=11; en contra/no hacer=1; evalua/monitoriza=9,Bajo: 2/6 guias (33%); discordante; 2/6: Canada Dx 2017; RANZCP GRADE 2026,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D10,P04,4,2,Durante fase aguda y estabilizacion inicial,"Monitoreo fisico, efectos adversos y adherencia","Safety, adverse effects and physical health","Weight management, lifestyle and metformin",El protocolo HVLH debe ofrecer intervenciones de estilo de vida para ganancia ponderal asociada a antipsicoticos y considerar metformina cuando el riesgo/metabolismo lo justifique.,"Ofrecer dieta saludable y actividad fisica; intervenir ante aumento de peso o alteraciones metabolicas; considerar metformina, cambio de antipsicotico u otras medidas cardiometabolicas segun riesgo.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (1); considera/sugiere=1; evalua/monitoriza=1,Consenso nuclear completo (2/2),Bajo: 7/19 guias (37%); discordante; dominante: ofrece (5); ofrece=5; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=2,Bajo: 2/6 guias (33%); discordante; 2/6: RANZCP GRADE 2026; RANZCP 2016,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
